"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","17","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/plugin-properties-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","18","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/shared-validation-and-jdbc-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","19","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/download-and-discovery-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","20","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/supported-data-formats.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","21","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/csv-parsing.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","22","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/json-parsing.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","23","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/excel-parsing.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","24","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/html-link-discovery.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","25","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/database-schema-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","26","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/ingestion-audit-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","27","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/ofgem-plugin.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","28","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/ofgem-plugin-configuration.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","29","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/ofgem-price-cap-data-dictionary.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","30","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/openmeteo-plugin.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","31","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/openmeteo-schema.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","32","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/octopus-plugin.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","33","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/octopus-schema.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","34","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","35","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/ofgem/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","36","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/ofgem/data-model.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","37","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/ofgem/workbook-mapping.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","38","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/openmeteo/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","39","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/plugins/octopus/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","40","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","41","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/data-and-privacy-governance.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","42","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/dependency-and-attribution-management.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","43","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/governance/release-compliance-checklist.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","44","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/glossary.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","45","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/licence.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","46","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/third-party-notices.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","47","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/data-source-notices.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","48","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/acknowledgements.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","7","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/coverpage.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","8","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/copyright.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","9","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/revision-history.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","10","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/introduction.md"
